,Country,Population,Yearly_Change,Net Change,Density_per_Km2,Land_Area_km,Migrants (net),Fert_Rate,Med_Age,Urban_Pop_Pct,World_Share
35,Iraq,40031626,2.32,912710,93,434320,7834.0,3.7,3.7,73,0.52
36,Afghanistan,38742911,2.33,886592,60,652860,-62920.0,4.6,4.6,25,0.5
37,Poland,37854825,-0.11,-41157,124,306230,-29395.0,1.4,1.4,60,0.49
38,Canada,37674770,0.89,331107,4,9093510,242032.0,1.5,1.5,81,0.48
39,Morocco,36820713,1.2,438791,83,446300,-51419.0,2.4,2.4,64,0.47
40,Saudi Arabia,34701377,1.59,545343,16,2149690,134979.0,2.3,2.3,84,0.45
41,Uzbekistan,33368859,1.48,487487,79,425400,-8863.0,2.4,2.4,50,0.43
42,Peru,32876986,1.42,461401,26,1280000,99069.0,2.3,2.3,79,0.42
43,Angola,32644783,3.27,1040977,26,1246700,6413.0,5.6,5.6,67,0.42
44,Malaysia,32280610,1.3,416222,99,328550,50000.0,2.0,2.0,78,0.42
45,Mozambique,31067362,2.93,889399,40,786380,-5000.0,4.9,4.9,38,0.4
46,Ghana,30936375,2.15,655084,137,227540,-10000.0,3.9,3.9,57,0.4
47,Yemen,29687214,2.28,664042,56,527970,-30000.0,3.8,3.8,38,0.38
48,Nepal,29027347,1.85,528098,203,143350,41710.0,1.9,1.9,21,0.37
50,Madagascar,27539106,2.68,721711,48,581795,-1500.0,4.1,4.1,39,0.36
51,Cameroon,26405174,2.59,669483,56,472710,-4800.0,4.6,4.6,56,0.34
52,Côte d'Ivoire,26239250,2.57,661730,83,318000,-8000.0,4.7,4.7,51,0.34
53,North Korea,25756088,0.44,112655,214,120410,-5403.0,1.9,1.9,63,0.33
54,Australia,25439164,1.18,296686,3,7682300,158246.0,1.8,1.8,86,0.33
55,Niger,24014064,3.84,895929,19,1266700,4000.0,7.0,7.0,17,0.31
56,Taiwan,23808164,0.18,42899,673,35410,30001.0,1.2,1.2,79,0.31
57,Sri Lanka,21395196,0.42,89516,341,62710,-97986.0,2.2,2.2,18,0.27
58,Burkina Faso,20780371,2.86,581895,76,273600,-25000.0,5.2,5.2,31,0.27
59,Mali,20125282,3.02,592802,17,1220190,-40000.0,5.9,5.9,44,0.26
60,Romania,19262731,-0.66,-126866,84,230170,-73999.0,1.6,1.6,55,0.25
61,Malawi,19024426,2.69,501205,203,94280,-16053.0,4.3,4.3,18,0.25
62,Chile,19082804,0.87,164163,26,743532,111708.0,1.7,1.7,85,0.25
63,Kazakhstan,18730568,1.21,225280,7,2699700,-18000.0,2.8,2.8,58,0.24
64,Zambia,18273379,2.93,522925,25,743390,-8000.0,4.7,4.7,45,0.24
65,Guatemala,17846248,1.9,334096,167,107160,-9215.0,2.9,2.9,52,0.23
66,Ecuador,17587526,1.55,269392,71,248360,36400.0,2.4,2.4,63,0.23
67,Syria,17410293,2.52,430523,95,183630,-427391.0,2.8,2.8,60,0.22
68,Netherlands,17127290,0.22,37742,508,33720,16000.0,1.7,1.7,92,0.22
69,Senegal,16649599,2.75,447563,87,192530,-20000.0,4.7,4.7,49,0.21
70,Cambodia,16671185,1.41,232423,95,176520,-30000.0,2.5,2.5,24,0.21
71,Chad,16324440,3.0,478988,13,1259200,2000.0,5.8,5.8,23,0.21
72,Somalia,15798020,2.92,450317,25,627340,-40000.0,6.1,6.1,47,0.2
